プログラムNo.2,,,,,,,,,,,,,,,
,層番号,材料番号,物質名,ML数,層厚[nm],比誘電率,有効質量,障壁の高さ,谷,分割数,NX,EF,仕事関数,電荷量,
122,3.78E+00,0.00E+00,,,,,,,,,,,,,
123,3.81E+00,0.00E+00,,,,,,,,,,,,,
123,3.81E+00,0.00E+00,,,,,,,,,,,,,
124,3.84E+00,0.00E+00,,,,,,,,,,,,,
124,3.84E+00,0.00E+00,,,,,,,,,,,,,
125,3.88E+00,0.00E+00,,,,,,,,,,,,,
125,3.88E+00,0.00E+00,,,,,,,,,,,,,
126,3.91E+00,0.00E+00,,,,,,,,,,,,,
126,3.91E+00,0.00E+00,,,,,,,,,,,,,
127,3.94E+00,0.00E+00,,,,,,,,,,,,,
127,3.94E+00,0.00E+00,,,,,,,,,,,,,
128,3.97E+00,0.00E+00,,,,,,,,,,,,,
128,3.97E+00,0.00E+00,,,,,,,,,,,,,
129,4.00E+00,0.00E+00,,,,,,,,,,,,,
129,4.00E+00,0.00E+00,,,,,,,,,,,,,
130,4.03E+00,0.00E+00,,,,,,,,,,,,,
130,4.03E+00,1.50E+00,,,,,,,,,,,,,
131,4.06E+00,1.50E+00,,,,,,,,,,,,,
131,4.06E+00,1.50E+00,,,,,,,,,,,,,
132,4.09E+00,1.50E+00,,,,,,,,,,,,,
132,4.09E+00,1.50E+00,,,,,,,,,,,,,
133,4.12E+00,1.50E+00,,,,,,,,,,,,,
133,4.12E+00,1.50E+00,,,,,,,,,,,,,
134,4.15E+00,1.50E+00,,,,,,,,,,,,,
134,4.15E+00,1.50E+00,,,,,,,,,,,,,
135,4.19E+00,1.50E+00,,,,,,,,,,,,,
135,4.19E+00,1.50E+00,,,,,,,,,,,,,
136,4.22E+00,1.50E+00,,,,,,,,,,,,,
136,4.22E+00,1.50E+00,,,,,,,,,,,,,
137,4.25E+00,1.50E+00,,,,,,,,,,,,,
137,4.25E+00,1.50E+00,,,,,,,,,,,,,
138,4.28E+00,1.50E+00,,,,,,,,,,,,,
138,4.28E+00,1.50E+00,,,,,,,,,,,,,
139,4.31E+00,1.50E+00,,,,,,,,,,,,,
139,4.31E+00,1.50E+00,,,,,,,,,,,,,
140,4.34E+00,1.50E+00,,,,,,,,,,,,,
140,4.34E+00,1.50E+00,,,,,,,,,,,,,
141,4.37E+00,1.50E+00,,,,,,,,,,,,,
141,4.37E+00,1.50E+00,,,,,,,,,,,,,
142,4.40E+00,1.50E+00,,,,,,,,,,,,,
142,4.40E+00,1.50E+00,,,,,,,,,,,,,
143,4.43E+00,1.50E+00,,,,,,,,,,,,,
143,4.43E+00,1.50E+00,,,,,,,,,,,,,
144,4.46E+00,1.50E+00,,,,,,,,,,,,,
144,4.46E+00,1.50E+00,,,,,,,,,,,,,
145,4.50E+00,1.50E+00,,,,,,,,,,,,,
145,4.50E+00,1.50E+00,,,,,,,,,,,,,
146,4.53E+00,1.50E+00,,,,,,,,,,,,,
146,4.53E+00,1.50E+00,,,,,,,,,,,,,
147,4.56E+00,1.50E+00,,,,,,,,,,,,,
147,4.56E+00,1.50E+00,,,,,,,,,,,,,
148,4.59E+00,1.50E+00,,,,,,,,,,,,,
148,4.59E+00,1.50E+00,,,,,,,,,,,,,
149,4.62E+00,1.50E+00,,,,,,,,,,,,,
149,4.62E+00,1.50E+00,,,,,,,,,,,,,
150,4.65E+00,1.50E+00,,,,,,,,,,,,,
150,4.65E+00,1.50E+00,,,,,,,,,,,,,
151,4.68E+00,1.50E+00,,,,,,,,,,,,,
151,4.68E+00,1.50E+00,,,,,,,,,,,,,
152,4.71E+00,1.50E+00,,,,,,,,,,,,,
152,4.71E+00,1.50E+00,,,,,,,,,,,,,
153,4.74E+00,1.50E+00,,,,,,,,,,,,,
153,4.74E+00,1.50E+00,,,,,,,,,,,,,
154,4.77E+00,1.50E+00,,,,,,,,,,,,,
154,4.77E+00,1.50E+00,,,,,,,,,,,,,
155,4.81E+00,1.50E+00,,,,,,,,,,,,,
155,4.81E+00,1.50E+00,,,,,,,,,,,,,
156,4.84E+00,1.50E+00,,,,,,,,,,,,,
156,4.84E+00,1.50E+00,,,,,,,,,,,,,
157,4.87E+00,1.50E+00,,,,,,,,,,,,,
157,4.87E+00,1.50E+00,,,,,,,,,,,,,
158,4.90E+00,1.50E+00,,,,,,,,,,,,,
158,4.90E+00,1.50E+00,,,,,,,,,,,,,
159,4.93E+00,1.50E+00,,,,,,,,,,,,,
159,4.93E+00,1.50E+00,,,,,,,,,,,,,
160,4.96E+00,1.50E+00,,,,,,,,,,,,,
160,4.96E+00,0.00E+00,,,,,,,,,,,,,
161,4.99E+00,0.00E+00,,,,,,,,,,,,,
161,4.99E+00,0.00E+00,,,,,,,,,,,,,
162,5.02E+00,0.00E+00,,,,,,,,,,,,,
162,5.02E+00,0.00E+00,,,,,,,,,,,,,
163,5.05E+00,0.00E+00,,,,,,,,,,,,,
163,5.05E+00,0.00E+00,,,,,,,,,,,,,
164,5.08E+00,0.00E+00,,,,,,,,,,,,,
164,5.08E+00,0.00E+00,,,,,,,,,,,,,
165,5.12E+00,0.00E+00,,,,,,,,,,,,,
165,5.12E+00,0.00E+00,,,,,,,,,,,,,
166,5.15E+00,0.00E+00,,,,,,,,,,,,,
166,5.15E+00,0.00E+00,,,,,,,,,,,,,
167,5.18E+00,0.00E+00,,,,,,,,,,,,,
